Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,Program/Network approval status,	Last updated date,Last updated by
NAAMA,,	1995-01-01,,Operational,Operational,Land (fixed),0-20000-0-60557|primary,Africa,,Algeria,33.26108,-0.31744,1166,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;M/B;METAR;SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.,Steppe - Cold arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of high altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-09-09,Mohamed Mezred
ORAN-PORT,,	1880-01-01,,Operational,Operational,Land (fixed),0-20000-0-60461|primary,Africa,,Algeria,35.71055,-0.65305,28,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;M/B;SEA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; State of sea observations.,,Mosaic forest or shrubland (50-70%) / grassland (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2022-07-21,Madjid Aberkane
ORAN-SENIA,,	1975-01-01,,Operational,Operational,Land (fixed),"0-20000-0-60490|primary,0-12-20000-60490",Africa,,Algeria,35.63111,-0.60388,90,GPS,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of low altitude,99000|1.585,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
OUALLEN,,	2008-06-19,,Operational,Silent,Land (fixed),0-20000-0-60675|primary,Africa,,Algeria,23.4,1,358,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
OUARGLA,,	1892-01-01,,Operational,Operational,Land (fixed),"0-20000-0-60580|primary,0-12-20000-60580",Africa,,Algeria,31.93641,5.41178,143.65,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
OUED KORICHE,,	2008-01-20,,Operational,Partly operational,Land (fixed),0-20000-0-60371|primary,Africa,,Algeria,36.7833333333,3.0333333333,12,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2022-10-10,Mohamed Mezred
OUED TAHAGGARET,,	2007-10-27,	2016-04-28,Closed,Unknown,Land (fixed),0-20000-0-60681|primary,Africa,,Algeria,21.6833333333,7.1333333333,573,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
OUHANET,,	2007-08-11,,Operational,Silent,Land (fixed),0-20000-0-60613|primary,Africa,,Algeria,28.7,8.9333333333,610,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-09,Abdelhadi HARROUZ
OUM EL BOUAGHI,,	1994-01-01,,Operational,Operational,Land (fixed),0-20000-0-60421|primary,Africa,,Algeria,35.8666666667,7.13027,889,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
REGGANE,,	2009-02-03,,Operational,Silent,Land (fixed),0-20000-0-60645|primary,Africa,,Algeria,26.7166666667,-0.1833333333,214,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
REGHAIA,,	1963-01-01,,Operational,Silent,Land (fixed),0-20000-0-60379|primary,Africa,,Algeria,36.7666666667,3.3333333333,4,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2022-10-10,Mohamed Mezred
RHOURD NOUSS,,	2002-01-01,,Operational,Operational,Land (fixed),0-20000-0-60603|primary,Africa,,Algeria,29.7352,6.71306,252,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of low altitude,,"GBON:Operational, GOS General:Operational","GBON:Approved,GOS General:Approved",	2024-10-02,Abdelhadi HARROUZ
SAIDA,,	1978-01-01,,Operational,Operational,Land (fixed),0-20000-0-60536|primary,Africa,,Algeria,34.89186,0.15774,750,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SOILTEMP;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
SETIF/AIN ARNAT,,	1936-01-01,,Operational,Operational,Land (fixed),0-20000-0-60445|primary,Africa,,Algeria,36.1666666667,5.3166666667,1009,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
SIDI-BEL-ABBES,,	1884-01-01,,Operational,Operational,Land (fixed),0-20000-0-60520|primary,Africa,,Algeria,35.17388,-0.59527,482,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
SKIKDA,,	1958-01-01,,Operational,Operational,Land (fixed),0-20000-0-60355|primary,Africa,,Algeria,36.88178,6.93503,2,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;C;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
SOUK AHRAS,,	1986-01-01,,Operational,Operational,Land (fixed),0-20000-0-60423|primary,Africa,,Algeria,36.2975,7.92277,860,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
TABELBALA,,	2007-08-08,,Operational,Silent,Land (fixed),0-20000-0-60605|primary,Africa,,Algeria,29.4166666667,-3.25,550,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-09,Abdelhadi HARROUZ
TADANTE,,	2007-10-19,,Silent,Silent,Land (fixed),0-20000-0-60673|primary,Africa,,Algeria,23.0333333333,7.8666666667,1179,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Stand-by,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TALMINIE,,	2007-08-22,,Silent,Silent,Land (fixed),0-20000-0-60595|primary,Africa,,Algeria,29.1666666667,-0.3,,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Stand-by,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TAMANRASSET,,	1924-01-01,,Operational,Operational,Land (fixed),0-20000-0-60680|primary,Africa,,Algeria,22.8253,5.45255,1372,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;GSN;GUAN;METAR;RBCN;RBSN(ST);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within valleys of high altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GSN:Operational, GUAN:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,GSN:Approved,GUAN:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(ST) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
TAMAZGUIDA,,	2008-06-23,	2016-04-28,Closed,Unknown,Land (fixed),0-20000-0-60617|primary,Africa,,Algeria,27.3166666667,3.7166666667,354,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TAOUNDART,,	2007-08-03,	2016-04-28,Closed,Unknown,Land (fixed),0-20000-0-60674|primary,Africa,,Algeria,20.3833333333,2.4666666667,677,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TARF,,	2009-12-01,,Operational,Operational,Land (fixed),0-20000-0-60368|primary,Africa,,Algeria,36.75463,8.07933,3,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of very low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-09-09,Mohamed Mezred
TEBESSA,,	1951-01-02,,Operational,Operational,Land (fixed),0-20000-0-60475|primary,Africa,,Algeria,35.42861,8.11527,814,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of high altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-15,Abdelhadi HARROUZ
TEGUENTOUR,TAGUENTOUR,	2007-11-14,,Operational,Silent,Land (fixed),0-20000-0-60619|primary,Africa,,Algeria,28.4666666667,2.5166666667,636,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TENES,,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-60410|primary,Africa,,Algeria,36.51415,1.30711,17,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: C;CLIMAT(C);EVAP;METAR;SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at lowest relative elevation within hills of low altitude,,"CLIMAT(C) - deprecated:Closed, GOS General:Operational, RBON:Operational","CLIMAT(C) - deprecated:Approved,GOS General:Approved,RBON:Approved",	2021-09-09,Mohamed Mezred
TESSALA EL MERDJA,,	2007-01-27,	2021-08-01,Closed,Silent,Land (fixed),0-20000-0-60380|primary,Africa,,Algeria,36.6166666667,2.9166666667,22,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,GOS General:Approved,	2024-10-02,Abdelhadi HARROUZ
TIARET,,	1982-12-01,,Operational,Operational,Land (fixed),0-20000-0-60511|primary,Africa,,Algeria,35.34542,1.46792,977,GPS,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Cold arid,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-15,Abdelhadi HARROUZ
TIMIAOUINE,,	2007-08-01,,Operational,Silent,Land (fixed),0-20000-0-60689|primary,Africa,,Algeria,20.4166666667,1.8,685,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TIMIMOUN,,	1961-01-01,,Operational,Operational,Land (fixed),0-20000-0-60607|primary,Africa,,Algeria,29.24412,0.28385,312,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within rises of low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
TIN ZAOUATENE,,	2007-07-28,,Silent,Silent,Land (fixed),0-20000-0-60695|primary,Africa,,Algeria,19.9666666667,2.9833333333,,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Stand-by,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TINALKOUN,,	2007-12-11,,Operational,Operational,Land (fixed),0-20000-0-60667|primary,Africa,,Algeria,24.6,10.2166666667,719,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-13,Abdelhadi HARROUZ
TINDOUF,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-60656|primary,Africa,,Algeria,27.7041,-8.1692,443,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;METAR;RBCN;RBSN(ST);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(ST) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(ST) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
TINFOUYE,,	2016-12-04,,Operational,Operational,Land (fixed),0-20000-0-60639|primary,Africa,,Algeria,28.43679,7.55148,472,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Bare areas(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,"GBON:Operational, GOS General:Stand-by","GBON:Approved,GOS General:Approved",	2024-10-09,Abdelhadi HARROUZ
TINTARABINE,,	2008-01-29,,Silent,Silent,Land (fixed),0-20000-0-60682|primary,Africa,,Algeria,23.1833333333,6.7666666667,1105,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Stand-by,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TIREK,,	2007-08-05,	2016-04-28,Closed,Unknown,Land (fixed),0-20000-0-60688|primary,Africa,,Algeria,21.5666666667,2.5833333333,561,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Closed,GOS General:Approved,	2024-09-18,Abdelhadi HARROUZ
TIRIRINE,,	2016-12-04,,Operational,Partly operational,Land (fixed),0-20000-0-60612|primary,Africa,,Algeria,22.05,8.5833333333,770,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,,,,,,GOS General:Operational,GOS General:Approved,	2024-10-13,Abdelhadi HARROUZ
TIZI-OUZOU,,	1990-01-01,,Operational,Operational,Land (fixed),0-20000-0-60395|primary,Africa,,Algeria,36.72421,4.01861,153,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm temperate - Dry and hot summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,"CLIMAT(C) - deprecated:Closed, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2021-09-09,Mohamed Mezred
TLEMCEN-ZENATA,,	1980-09-01,,Operational,Operational,Land (fixed),0-20000-0-60531|primary,Africa,,Algeria,35.01888,-1.44472,246.1,,,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;AUT;CLIMAT(C);EVAP;METAR;RBCN;RBSN(S);SOLRA;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Solar radiation measurements.,,,,,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
TOUGGOURT,,	1976-01-01,,Operational,Operational,Land (fixed),0-20000-0-60555|primary,Africa,,Algeria,33.07011,6.09208,87.1,,UTC+1,Office National de la Meteorologie Algeria,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RBCN;RBSN(S);SPECI;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of very low altitude,,"CLIMAT(C) - deprecated:Closed, GBON:Operational, RBCN - deprecated:Closed, RBON:Operational, RBSN(S) - deprecated:Closed","CLIMAT(C) - deprecated:Approved,GBON:Approved,RBCN - deprecated:Approved,RBON:Approved,RBSN(S) - deprecated:Approved",	2024-10-13,Abdelhadi HARROUZ
Tamanrasset,,	1994-04-01,,Operational,Unknown,Land (fixed),0-20008-0-TAM|primary,Africa,,Algeria,22.7833328247,5.5166668892,1377,,UTC+1,,http://www.meteo.dz/html/station_vag.htm,,"The station is located at the headquarters of the Office National de la M̩teorologie , direction r̩gionale sud of Tamanrasset (70.000 inhabitants) in the Saharan desert. The area is free of industrial activities. Local sources of pollution include a small but increasing number of private vehicles.",Desert - Hot arid,,,,,"AERONET:Operational, GAW Global:Operational","AERONET:Approved,GAW Global:Approved",	2023-09-21,Sidi BAIKA
